name,url
UKRAINE: SEEDS OF BRAVERY,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/5d5c7e51-c112-4cf8-ad80-a086619c8c761"" "
French Tech,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/0433527a-5fa5-4b5c-99da-d1ac6ac7e41e1"" "
EY,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/91726ac3-1cd5-443e-801d-adf58f8ad7d91"" "
TotalEnergies,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/b2b5877c-06ea-413e-b55a-a64ae5a805151"" "
META,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/cbcb2c45-aa4e-44de-bb6f-3b5c5adb932941"" "
Escalator,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/f1f9cfa3-9b80-4101-9530-ae74a6bb04d01"" "
Groupe Les Echos Le Parisien,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/8e74a575-37f2-4fbd-a1b1-306b16804c301"" "
Région Grand Est,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/7488390a-0ed2-4eff-91f1-19d8ac56cbd1101"" "
FRANCE TELEVISIONS,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/5ac177a8-9caa-4a73-a56e-70d4f512a72f1"" "
AIR LIQUIDE,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/c62be551-c708-451b-8b32-894411beb13a1"" "
INPI,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/3fdf8073-b38d-4e66-9d64-a5a1fd3354891"" "
MANGOPAY,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/eb55a9e7-8b3b-4fef-b902-b656c8d5b7491"" "
Startup Inside,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/b25a8f57-1241-4f5e-b61a-4a261269d7a81"" "
WEBEDIA,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/dd010e10-0b37-4033-8599-8dde9220b3061"" "
SAP,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/53a89cab-60ac-4fd9-814e-8d6d2892b64041"" "
JCDECAUX,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/5988b400-6c07-48ef-a450-065f15ea21061"" "
DASSAULT SYSTEMES,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/81a82355-820c-4db1-8a5a-e5aaf4baffce1"" "
Binance,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/856f9a70-c65b-447e-b073-7a37c224da101"" "
L'OREAL,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/c2b24f89-f801-4f06-bea0-5e748625b4c91"" "
Ynov,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/1fe1a2d8-b60f-4279-a978-b581903998fb1"" "
Scaleway,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/582c86b7-fd73-46d0-b26c-0ec4351ff30f1"" "
POLE EMPLOI,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/f7143328-43ac-42ce-9161-134a231bfe721"" "
Mouvement des Entreprises de France,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/d83d3582-6e54-4e47-9b20-0ce3b73398bc1"" "
ASANA,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/d3fd9d85-eb1d-4781-8974-2d84625ad1261"" "
EDF,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/80836a51-a58f-4b71-b8a9-f6df26d0fee21"" "
PlayPlay,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/8004eaec-7ce4-46fc-89f9-8e6057901ffb1"" "
